data_128.txt:
sort:
Column	Desc	ACC	MCC	SP	SE	Score
70	S(19)	91.14	0.742	91.22	90.77	8360.80259
8	dis2	91.14	0.742	91.22	90.77	8360.80259
7	dis1	91.14	0.742	91.22	90.77	8360.80259
59	S(8)	91.14	0.742	91.22	90.77	8360.80259
103	eb	91.14	0.742	91.22	90.77	8360.80259
42	2k	91.14	0.742	91.22	90.77	8360.80259
99	Wmol	91.14	0.742	91.22	90.77	8360.80259
48	Shev	91.14	0.742	91.22	90.77	8360.80259
15	4cPC	91.14	0.742	91.22	90.77	8360.80259
91	S(43)	91.14	0.742	91.22	90.77	8360.80259
19	6cCH	91.14	0.742	91.22	90.77	8360.80259
76	S(28)	91.14	0.742	91.22	90.77	8360.80259
44	1ka	91.14	0.742	91.22	90.77	8360.80259
88	S(40)	91.14	0.742	91.22	90.77	8360.80259
66	S(15)	91.14	0.742	91.22	90.77	8360.80259
35	ncoi	91.14	0.742	91.22	90.77	8360.80259
22	2cv	91.14	0.742	91.22	90.77	8360.80259
57	S(6)	91.14	0.742	91.22	90.77	8360.80259
86	S(38)	91.14	0.742	91.22	90.77	8360.80259
33	ncof	91.14	0.742	91.22	90.77	8360.80259
12	2c	91.14	0.742	91.22	90.77	8360.80259
23	3cvP	91.14	0.742	91.22	90.77	8360.80259
54	S(3)	91.14	0.742	91.22	90.77	8360.80259
119	Sanc	91.14	0.742	91.22	90.77	8360.80259
117	PSA	91.14	0.742	91.22	90.77	8360.80259
122	Svpc	91.14	0.742	91.22	90.77	8360.80259
113	w	91.14	0.742	91.22	90.77	8360.80259
25	4cvPC	91.14	0.742	91.22	90.77	8360.80259
52	S(1)	91.14	0.742	91.22	90.77	8360.80259
116	MS	91.14	0.742	91.22	90.77	8360.80259
96	S(57)	91.14	0.742	91.22	90.77	8360.80259
120	Sapcw	91.14	0.742	91.22	90.77	8360.80259
73	S(22)	91.14	0.742	91.22	90.77	8360.80259
125	Svncw	91.14	0.742	91.22	90.77	8360.80259
121	Sancw	91.14	0.742	91.22	90.77	8360.80259
82	S(34)	91.14	0.742	91.22	90.77	8360.80259
111	mcp	91.14	0.742	91.22	90.77	8360.80259
109	IP	91.14	0.742	91.22	90.77	8360.80259
63	S(12)	91.14	0.742	91.22	90.77	8360.80259
43	3k	91.14	0.742	91.22	90.77	8360.80259
114	AS	91.14	0.742	91.22	90.77	8360.80259
30	nhal	91.14	0.742	91.22	90.77	8360.80259
89	S(41)	91.14	0.742	91.22	90.77	8360.80259
10	0c	91.14	0.742	91.22	90.77	8360.80259
51	Shal	91.14	0.742	91.22	90.77	8360.80259
118	Sapc	91.14	0.742	91.22	90.77	8360.80259
79	S(31)	90.58	0.725	90.33	91.80	8314.689825
101	pi	90.86	0.734	90.91	90.63	8313.98738
104	q+	90.86	0.734	90.91	90.63	8313.98738
105	q-	90.86	0.734	90.91	90.63	8313.98738
37	nphos	90.86	0.734	90.91	90.63	8313.98738
78	S(30)	90.86	0.734	90.91	90.63	8313.98738
6	naccr	90.86	0.734	90.91	90.63	8313.98738
93	S(54)	90.86	0.734	90.91	90.63	8313.98738
85	S(37)	90.86	0.734	90.91	90.63	8313.98738
4	nrot	90.86	0.734	90.91	90.63	8313.98738
107	h	90.86	0.734	90.91	90.63	8313.98738
110	A	90.86	0.734	90.91	90.63	8313.98738
39	noxy	90.86	0.734	90.91	90.63	8313.98738
27	4cvCH	90.86	0.734	90.91	90.63	8313.98738
61	S(10)	90.86	0.734	90.91	90.63	8313.98738
17	4cCH	90.86	0.734	90.91	90.63	8313.98738
102	ea	90.86	0.734	90.91	90.63	8313.98738
26	3cvCH	90.58	0.725	90.60	90.48	8266.7547
28	6cvCH	90.58	0.725	90.60	90.48	8266.7547
106	m	90.58	0.725	90.60	90.48	8266.7547
67	S(16)	90.58	0.725	90.60	90.48	8266.7547
16	3cCH	90.58	0.725	90.60	90.48	8266.7547
49	Scar	90.58	0.725	90.60	90.48	8266.7547
53	S(2)	90.58	0.725	90.60	90.48	8266.7547
56	S(5)	90.30	0.717	90.30	90.32	8219.74527
71	S(20)	90.30	0.717	90.30	90.32	8219.74527
83	S(35)	90.30	0.717	90.30	90.32	8219.74527
84	S(36)	88.64	0.666	87.78	94.00	8117.02234
92	S(51)	91.14	0.742	91.22	0.00	4190.73802
drop:
64	S(13)
72	S(21)
data_123.txt:
sort:
Column	Desc	ACC	MCC	SP	SE	Score
30	nhal	91.41	0.751	90.97	93.55	8502.77386
92	S(55)	91.41	0.751	90.97	93.55	8502.77386
74	S(28)	91.14	0.743	90.67	93.44	8458.289565
75	S(29)	91.14	0.743	90.67	93.44	8458.289565
117	Sanc	91.14	0.743	90.67	93.44	8458.289565
79	S(33)	91.14	0.743	90.67	93.44	8458.289565
58	S(7)	91.14	0.743	90.67	93.44	8458.289565
11	1c	91.14	0.743	90.67	93.44	8458.289565
122	Svpcw	91.14	0.743	90.67	93.44	8458.289565
17	4cCH	91.14	0.743	90.67	93.44	8458.289565
123	Svncw	91.14	0.743	90.67	93.44	8458.289565
31	nhet	91.14	0.743	90.67	93.44	8458.289565
65	S(15)	91.14	0.743	90.67	93.44	8458.289565
97	Wmol	91.14	0.743	90.67	93.44	8458.289565
6	naccr	91.14	0.743	90.67	93.44	8458.289565
54	S(3)	91.14	0.743	90.67	93.44	8458.289565
103	q-	91.14	0.743	90.67	93.44	8458.289565
37	nphos	91.14	0.743	90.67	93.44	8458.289565
20	0cv	91.14	0.743	90.67	93.44	8458.289565
10	0c	91.14	0.743	90.67	93.44	8458.289565
16	3cCH	91.14	0.743	90.67	93.44	8458.289565
39	noxy	91.14	0.743	90.67	93.44	8458.289565
24	3cvC	91.14	0.743	90.67	93.44	8458.289565
7	dis1	91.14	0.743	90.67	93.44	8458.289565
3	nring	91.14	0.743	90.67	93.44	8458.289565
27	4cvCH	91.14	0.743	90.67	93.44	8458.289565
41	1k	91.14	0.743	90.67	93.44	8458.289565
62	S(11)	91.14	0.743	90.67	93.44	8458.289565
48	Shev	91.14	0.743	90.67	93.44	8458.289565
38	nsulph	91.14	0.743	90.67	93.44	8458.289565
55	S(4)	91.14	0.743	90.67	93.44	8458.289565
71	S(22)	91.14	0.743	90.67	93.44	8458.289565
9	dis3	91.14	0.743	90.67	93.44	8458.289565
12	2c	91.14	0.743	90.67	93.44	8458.289565
118	Sapcw	91.14	0.743	90.67	93.44	8458.289565
8	dis2	91.14	0.743	90.67	93.44	8458.289565
98	Vmc	91.14	0.743	90.67	93.44	8458.289565
13	3cP	91.14	0.743	90.67	93.44	8458.289565
15	4cPC	91.14	0.743	90.67	93.44	8458.289565
69	S(19)	91.14	0.743	90.67	93.44	8458.289565
5	ndonr	91.14	0.743	90.67	93.44	8458.289565
90	S(51)	91.14	0.743	90.67	93.44	8458.289565
22	2cv	90.86	0.734	90.37	93.33	8412.9089
115	PSA	90.86	0.734	90.37	93.33	8412.9089
112	AS	90.86	0.734	90.37	93.33	8412.9089
99	pi	90.86	0.734	90.37	93.33	8412.9089
114	MS	90.86	0.734	90.37	93.33	8412.9089
72	S(26)	90.86	0.734	90.37	93.33	8412.9089
44	1ka	90.86	0.734	90.37	93.33	8412.9089
45	2ka	90.86	0.734	90.37	93.33	8412.9089
43	3k	90.86	0.734	90.37	93.33	8412.9089
80	S(34)	90.86	0.734	90.37	93.33	8412.9089
102	q+	90.86	0.734	90.37	93.33	8412.9089
105	h	90.86	0.734	90.37	93.33	8412.9089
113	VS	90.86	0.734	90.37	93.33	8412.9089
95	S(60)	90.86	0.734	90.37	93.33	8412.9089
36	ncarb	90.86	0.734	90.37	93.33	8412.9089
94	S(57)	90.86	0.734	90.37	93.33	8412.9089
101	eb	90.86	0.734	90.37	93.33	8412.9089
110	cen	90.86	0.734	90.37	93.33	8412.9089
63	S(12)	90.86	0.734	90.37	93.33	8412.9089
21	1cv	90.86	0.734	90.37	93.33	8412.9089
28	6cvCH	90.86	0.734	90.37	93.33	8412.9089
121	Svnc	90.86	0.734	90.37	93.33	8412.9089
47	phi	90.86	0.734	90.37	93.33	8412.9089
25	4cvPC	90.86	0.734	90.37	93.33	8412.9089
119	Sancw	90.86	0.734	90.37	93.33	8412.9089
18	5cCH	90.86	0.734	90.37	93.33	8412.9089
46	3ka	90.86	0.734	90.37	93.33	8412.9089
19	6cCH	90.86	0.734	90.37	93.33	8412.9089
52	S(1)	90.86	0.734	90.37	93.33	8412.9089
14	3cC	90.86	0.734	90.37	93.33	8412.9089
23	3cvP	90.86	0.734	90.37	93.33	8412.9089
42	2k	90.86	0.734	90.37	93.33	8412.9089
85	S(39)	90.86	0.734	90.37	93.33	8412.9089
34	ncocl	90.86	0.734	90.37	93.33	8412.9089
40	nnitro	90.86	0.734	90.37	93.33	8412.9089
109	mcp	90.86	0.734	90.37	93.33	8412.9089
100	ea	90.86	0.734	90.37	93.33	8412.9089
111	w	90.86	0.734	90.37	93.33	8412.9089
106	SN	90.86	0.734	90.37	93.33	8412.9089
108	A	90.86	0.734	90.37	93.33	8412.9089
87	S(41)	90.86	0.734	90.37	93.33	8412.9089
107	IP	90.86	0.734	90.37	93.33	8412.9089
120	Svpc	90.86	0.734	90.37	93.33	8412.9089
93	S(56)	91.14	0.743	90.94	92.06	8407.2945
96	S(80)	91.14	0.743	90.94	92.06	8407.2945
51	Shal	91.14	0.743	90.94	92.06	8407.2945
67	S(17)	91.14	0.743	90.94	92.06	8407.2945
78	S(32)	91.14	0.743	90.94	92.06	8407.2945
33	ncof	91.14	0.743	90.94	92.06	8407.2945
35	ncoi	91.14	0.743	90.94	92.06	8407.2945
88	S(42)	91.14	0.743	90.94	92.06	8407.2945
89	S(43)	91.14	0.743	90.94	92.06	8407.2945
83	S(37)	91.14	0.743	90.94	92.06	8407.2945
57	S(6)	91.14	0.743	90.94	92.06	8407.2945
81	S(35)	90.58	0.726	90.07	93.22	8367.73837
64	S(14)	90.58	0.726	90.07	93.22	8367.73837
50	Shet	90.58	0.726	90.07	93.22	8367.73837
116	Sapc	90.58	0.726	90.07	93.22	8367.73837
60	S(9)	90.58	0.726	90.07	93.22	8367.73837
86	S(40)	90.58	0.726	90.07	93.22	8367.73837
29	nhyd	90.58	0.726	90.07	93.22	8367.73837
68	S(18)	90.58	0.726	90.07	93.22	8367.73837
73	S(27)	90.86	0.734	90.64	91.94	8361.61626
59	S(8)	90.86	0.734	90.64	91.94	8361.61626
84	S(38)	90.86	0.734	90.64	91.94	8361.61626
61	S(10)	90.30	0.717	89.77	93.10	8322.139395
4	nrot	90.30	0.717	89.77	93.10	8322.139395
26	3cvCH	90.30	0.717	89.77	93.10	8322.139395
53	S(2)	90.58	0.725	90.33	91.80	8314.689825
76	S(30)	90.58	0.725	90.33	91.80	8314.689825
49	Scar	90.03	0.709	89.47	92.98	8277.665275
66	S(16)	90.30	0.717	90.03	91.67	8268.89445
82	S(36)	88.64	0.669	87.30	97.83	8266.887585
91	S(54)	89.75	0.700	89.18	92.86	8232.759
70	S(20)	89.47	0.691	88.89	92.73	8187.52041
56	S(5)	89.47	0.691	89.14	91.23	8131.169785
104	m	89.75	0.699	89.70	90.00	8126.84265
77	S(31)	88.37	0.655	87.99	90.57	7948.152
32	nhev	91.14	0.743	0.00	93.44	4292.77376
drop:
30	nhal
92	S(55)
data_121.txt:
sort:
Column	Desc	ACC	MCC	SP	SE	Score
97	pi	91.69	0.760	91.28	93.65	8548.38925
19	6cCH	91.69	0.760	91.28	93.65	8548.38925
79	S(34)	91.69	0.760	91.28	93.65	8548.38925
63	S(14)	91.41	0.751	90.97	93.55	8502.77386
39	nnitro	91.41	0.751	90.97	93.55	8502.77386
16	3cCH	91.41	0.751	90.97	93.55	8502.77386
59	S(9)	91.41	0.751	90.97	93.55	8502.77386
100	q+	91.14	0.743	90.67	93.44	8458.289565
60	S(10)	91.14	0.743	90.67	93.44	8458.289565
38	noxy	91.14	0.743	90.67	93.44	8458.289565
67	S(18)	91.14	0.743	90.67	93.44	8458.289565
6	naccr	91.14	0.743	90.67	93.44	8458.289565
117	Sancw	91.41	0.751	91.25	92.19	8453.00692
50	Shal	91.41	0.751	91.25	92.19	8453.00692
116	Sapcw	91.41	0.751	91.25	92.19	8453.00692
109	w	91.41	0.751	91.25	92.19	8453.00692
87	S(42)	91.41	0.751	91.25	92.19	8453.00692
42	3k	91.41	0.751	91.25	92.19	8453.00692
86	S(41)	91.41	0.751	91.25	92.19	8453.00692
18	5cCH	91.41	0.751	91.25	92.19	8453.00692
82	S(37)	91.41	0.751	91.25	92.19	8453.00692
94	S(80)	91.41	0.751	91.25	92.19	8453.00692
83	S(38)	91.41	0.751	91.25	92.19	8453.00692
58	S(8)	91.41	0.751	91.25	92.19	8453.00692
56	S(6)	91.41	0.751	91.25	92.19	8453.00692
34	ncoi	91.41	0.751	91.25	92.19	8453.00692
77	S(32)	91.41	0.751	91.25	92.19	8453.00692
88	S(43)	91.41	0.751	91.25	92.19	8453.00692
23	3cvP	91.41	0.751	91.25	92.19	8453.00692
66	S(17)	91.41	0.751	91.25	92.19	8453.00692
121	Svncw	91.41	0.751	91.25	92.19	8453.00692
32	ncof	91.41	0.751	91.25	92.19	8453.00692
80	S(35)	90.86	0.734	90.37	93.33	8412.9089
26	3cvCH	90.86	0.734	90.37	93.33	8412.9089
4	nrot	90.86	0.734	90.37	93.33	8412.9089
48	Scar	90.86	0.734	90.37	93.33	8412.9089
41	2k	91.14	0.743	90.94	92.06	8407.2945
61	S(11)	91.14	0.743	90.94	92.06	8407.2945
21	1cv	91.14	0.743	90.94	92.06	8407.2945
96	Vmc	91.14	0.743	90.94	92.06	8407.2945
105	IP	91.14	0.743	90.94	92.06	8407.2945
113	PSA	91.14	0.743	90.94	92.06	8407.2945
37	nsulph	91.14	0.743	90.94	92.06	8407.2945
22	2cv	91.14	0.743	90.94	92.06	8407.2945
49	Shet	91.14	0.743	90.94	92.06	8407.2945
78	S(33)	91.14	0.743	90.94	92.06	8407.2945
85	S(40)	91.14	0.743	90.94	92.06	8407.2945
64	S(15)	91.14	0.743	90.94	92.06	8407.2945
11	1c	91.14	0.743	90.94	92.06	8407.2945
35	ncarb	91.14	0.743	90.94	92.06	8407.2945
47	Shev	91.14	0.743	90.94	92.06	8407.2945
43	1ka	91.14	0.743	90.94	92.06	8407.2945
40	1k	91.14	0.743	90.94	92.06	8407.2945
107	mcp	91.14	0.743	90.94	92.06	8407.2945
46	phi	91.14	0.743	90.94	92.06	8407.2945
14	3cC	91.14	0.743	90.94	92.06	8407.2945
36	nphos	91.14	0.743	90.94	92.06	8407.2945
57	S(7)	91.14	0.743	90.94	92.06	8407.2945
91	S(56)	91.14	0.743	90.94	92.06	8407.2945
27	4cvCH	91.14	0.743	90.94	92.06	8407.2945
71	S(26)	91.14	0.743	90.94	92.06	8407.2945
95	Wmol	91.14	0.743	90.94	92.06	8407.2945
112	MS	91.14	0.743	90.94	92.06	8407.2945
93	S(60)	91.14	0.743	90.94	92.06	8407.2945
74	S(29)	91.14	0.743	90.94	92.06	8407.2945
115	Sanc	91.14	0.743	90.94	92.06	8407.2945
70	S(22)	91.14	0.743	90.94	92.06	8407.2945
5	ndonr	91.14	0.743	90.94	92.06	8407.2945
119	Svnc	91.14	0.743	90.94	92.06	8407.2945
89	S(51)	91.14	0.743	90.94	92.06	8407.2945
44	2ka	91.14	0.743	90.94	92.06	8407.2945
110	AS	91.14	0.743	90.94	92.06	8407.2945
33	ncocl	91.14	0.743	90.94	92.06	8407.2945
62	S(12)	91.14	0.743	90.94	92.06	8407.2945
106	A	91.14	0.743	90.94	92.06	8407.2945
68	S(19)	91.14	0.743	90.94	92.06	8407.2945
7	dis1	91.14	0.743	90.94	92.06	8407.2945
120	Svpcw	91.14	0.743	90.94	92.06	8407.2945
15	4cPC	91.14	0.743	90.94	92.06	8407.2945
13	3cP	91.14	0.743	90.94	92.06	8407.2945
24	3cvC	91.14	0.743	90.94	92.06	8407.2945
9	dis3	91.14	0.743	90.94	92.06	8407.2945
12	2c	91.14	0.743	90.94	92.06	8407.2945
3	nring	91.14	0.743	90.94	92.06	8407.2945
52	S(2)	91.14	0.743	90.94	92.06	8407.2945
28	6cvCH	91.14	0.743	90.94	92.06	8407.2945
20	0cv	91.14	0.743	90.94	92.06	8407.2945
51	S(1)	91.14	0.743	90.94	92.06	8407.2945
25	4cvPC	91.14	0.743	90.94	92.06	8407.2945
103	h	91.14	0.743	90.94	92.06	8407.2945
111	VS	91.14	0.743	90.94	92.06	8407.2945
29	nhyd	91.14	0.743	90.94	92.06	8407.2945
30	nhet	91.14	0.743	90.94	92.06	8407.2945
99	eb	91.14	0.743	90.94	92.06	8407.2945
17	4cCH	91.14	0.743	90.94	92.06	8407.2945
118	Svpc	91.14	0.743	90.94	92.06	8407.2945
45	3ka	91.14	0.743	90.94	92.06	8407.2945
54	S(4)	91.14	0.743	90.94	92.06	8407.2945
10	0c	91.14	0.743	90.94	92.06	8407.2945
104	SN	91.14	0.743	90.94	92.06	8407.2945
84	S(39)	91.14	0.743	90.94	92.06	8407.2945
73	S(28)	91.14	0.743	90.94	92.06	8407.2945
108	cen	91.14	0.743	90.94	92.06	8407.2945
98	ea	91.14	0.743	90.94	92.06	8407.2945
114	Sapc	91.14	0.743	90.94	92.06	8407.2945
92	S(57)	91.14	0.743	90.94	92.06	8407.2945
53	S(3)	91.14	0.743	90.94	92.06	8407.2945
31	nhev	91.14	0.743	90.94	92.06	8407.2945
75	S(30)	90.86	0.734	90.64	91.94	8361.61626
8	dis2	90.86	0.734	90.64	91.94	8361.61626
72	S(27)	90.86	0.734	90.64	91.94	8361.61626
65	S(16)	90.86	0.734	90.64	91.94	8361.61626
101	q-	90.86	0.734	90.91	90.63	8313.98738
